ZAK;;;;;;
;;;;;;
Pol.Comerc.;Produto;Id Prd Hub;SKU Hub;Canal Integr;Kit(1=Sim/2=Nao);Nome Lj Virt
1;;;;02;2;AMAZON-SHOP SALOMAO-11860
2;;;;02;2;B2W_NEW_API-SALOMAO-14363
3;;;;02;2;B2W_NEW_API-MATARAZO-17002
4;;;;02;2;B2W_NEW_API-Jm Moveis-28281
5;;;;02;2;B2W_NEW_API-Shop JM-5865
6;;;;02;2;CARREFOUR-CARREFOUR-1101
7;;;;02;2;LEROY_MERLIN-Shop JM-101
8;;;;02;2;MADEIRA_MADEIRA-SHOP JM-7650
9;;;;02;2;MAGAZINE_LUIZA-Jm Moveis-29583
10;;;;02;2;MAGAZINE_LUIZA-shopjm2-9347
11;;;;02;2;MERCADO_LIVRE-SHOPJM_COM_BR-4880
12;;;;02;2;MERCADO_LIVRE-MOVEIS JM-46164
13;;;;02;2;MOBLY-M B COMERCIO MOVELEIRO E ELETRODOMESTICOS LT
14;;;;02;2;RENNER-Shop JM-1808
15;;;;02;2;SHOPEE-Shopee - 312684818-179
16;;;;02;2;CNOVA-CNOVA-4006
20;;;;02;2;WEB_CONTINENTAL_NEW_API-SHOP JM-80
25;;;;02;2;RAIA_DROGASIL-POTENZA-2569
26;;;;02;2;SHOPEE-Shopee - Potenza-1925
17;111564;335590709;103604870;02;2;MADEIRA_MADEIRA-Shop Salomao-3056443
18;111564;335590709;103604870;02;2;MAGAZINE_LUIZA-shopjm-26487
19;111564;335590709;103604870;02;2;CNOVA-CNOVA-23665
21;111564;335590709;103604870;02;2;WEB_CONTINENTAL_NEW_API-Shop Salomao-448
27;111564;335590709;103604870;02;2;BELEZA_NA_WEB-Shop JM-2659
